Generacion,Mejor Fitness,Mejor Circuito
0,0.5000,"['R1', 'R3']"
1,0.5000,"['R1', 'R3']"
2,0.3704,"['R1', 'R2', 'R3']"
3,0.2703,"['R1', 'R2', 'C1']"
4,0.2703,"['R1', 'R2', 'C1']"
5,0.2703,"['R2', 'C1', 'R3']"
6,0.3226,"['R1', 'R2', 'R4']"
7,0.2703,"['R1', 'R2', 'C1']"
8,0.2381,"['R1', 'R2', 'C1', 'R3']"
9,0.1961,"['R1', 'R2', 'C1', 'R3', 'R4']"
10,0.2778,"['R1', 'R2', 'R3', 'R4']"
11,0.1786,"['R1', 'R2', 'C2', 'R3', 'R4']"
12,0.1613,"['R1', 'R2', 'C1', 'C2', 'R3']"
13,0.3226,"['R1', 'R2', 'R4']"
14,0.3226,"['R1', 'R2', 'R4']"
15,0.5263,['R4']
16,0.3226,"['R1', 'R2', 'R4']"
17,0.2941,"['C1', 'R4']"
18,0.2273,"['R1', 'C1', 'R3', 'R4']"
19,0.2564,"['R1', 'C1', 'R4']"
20,0.2857,"['R1', 'C2']"
21,0.2174,"['R2', 'C2', 'R4']"
22,0.2041,"['R1', 'C2', 'R3', 'R4']"
23,0.1754,"['R1', 'R2', 'C1', 'C2']"
24,0.2703,"['R1', 'R2', 'C1']"
25,0.2174,"['R2', 'C1', 'R3', 'R4']"
26,0.4545,"['R2', 'R3']"
27,0.2703,"['R2', 'C1', 'R3']"
28,0.2703,"['R2', 'C1', 'R3']"
29,0.2703,"['R1', 'R2', 'C1']"
30,0.2703,"['R2', 'C1', 'R3']"
31,0.2703,"['R2', 'C1', 'R3']"
32,0.3333,"['C1', 'R3']"
33,0.3125,"['R2', 'C1']"
34,0.1818,"['R1', 'C1', 'C2', 'R3']"
35,0.1695,"['C1', 'C2', 'R3', 'R4']"
36,0.2857,"['R1', 'C1', 'R3']"
37,0.3333,"['R1', 'C1']"
38,0.1961,"['R1', 'R2', 'C2', 'R4']"
39,0.2128,"['R1', 'R2', 'C2', 'R3']"
40,0.2041,"['R1', 'C2', 'R4', 'R3']"
41,0.2500,"['R1', 'C2', 'R3']"
42,0.2857,"['R1', 'C1', 'R3']"
43,0.3448,"['R1', 'R3', 'R4']"
44,0.3226,"['R3', 'R4', 'R2']"
45,0.3448,"['R1', 'R3', 'R4']"
46,0.2564,"['R1', 'C1', 'R4']"
47,0.3448,"['R1', 'R3', 'R4']"
48,0.3448,"['R1', 'R3', 'R4']"
49,0.2941,"['C1', 'R4']"
50,0.2564,"['R1', 'C1', 'R4']"
